LastName,FirstName,Position,Team,G,A,GVi,AVi,GVt,AVt,MPi,MPf,TOCKernelif,TOCf,OGVT,CapHit
Abdelkader,Justin,LW/RW,DET,7,14,0.43,0.29,0.49,0.33,1066.15,15460.233333333334,7.0,0.007799675573929458,-1.32,4250000.00
Archibald,Josh,RW,PIT,3,0,1.00,0.67,0.53,0.35,108.65,14666.683333333332,3.0,0.010997221475572187,1.81,659167.00
Athanasiou,Andreas,C,DET,18,11,0.71,0.47,0.49,0.33,861.716666667,15460.233333333334,18.0,0.007799675573929458,11.28,628333.00
Bertuzzi,Tyler,LW,DET,0,0,0.00,0.00,0.49,0.33,63.75,15460.233333333334,0.0,0.007799675573929458,-0.50,661667.00
Bonino,Nick,C,PIT,18,19,0.59,0.39,0.53,0.35,1332.18333333,14666.683333333332,18.0,0.010997221475572187,3.35,1900000.00
Caggiula,Drake,LW/C,EDM,7,11,0.49,0.33,0.51,0.34,794.116666667,15305.083333333334,7.0,0.009623976418210724,-0.64,925000.00
Callahan,Mitch,RW,DET,0,0,0.00,0.00,0.49,0.33,27.25,15460.233333333334,0.0,0.007799675573929458,-0.21,600000.00
Crosby,Sidney,C,PIT,44,45,0.59,0.40,0.53,0.35,1490.83333333,14666.683333333332,44.0,0.010997221475572187,27.60,8700000.00
Cullen,Matt,C/LW,PIT,13,18,0.52,0.35,0.53,0.35,1002.13333333,14666.683333333332,13.0,0.010997221475572187,1.98,1000000.00
Dea,Jean-Sebastien,C,PIT,0,0,0.00,0.00,0.53,0.35,11.3,14666.683333333332,0.0,0.010997221475572187,-0.12,593333.00
Draisaitl,Leon,C,EDM,29,48,0.48,0.32,0.51,0.34,1548.48333333,15305.083333333334,29.0,0.009623976418210724,14.10,925000.00
Eberle,Jordan,RW/C,EDM,20,31,0.49,0.33,0.51,0.34,1374.95,15305.083333333334,20.0,0.009623976418210724,6.77,6000000.00
Glendening,Luke,C/RW/LW,DET,3,11,0.29,0.19,0.49,0.33,955.716666667,15460.233333333334,3.0000000000000004,0.007799675573929458,-4.45,628333.00
Guentzel,Jake,C/LW,PIT,16,17,0.59,0.39,0.53,0.35,635.433333333,14666.683333333332,16.0,0.010997221475572187,9.01,734167.00
Hagelin,Carl,LW,PIT,6,16,0.36,0.24,0.53,0.35,944.883333333,14666.683333333332,6.0,0.010997221475572187,-4.39,4000000.00
Helm,Darren,C,DET,8,9,0.57,0.38,0.49,0.33,768.466666667,15460.233333333334,8.0,0.007799675573929458,2.01,3850000.00
Hendricks,Matt,LW/C,EDM,4,3,0.67,0.44,0.51,0.34,451.45,15305.083333333334,4.0,0.009623976418210724,-0.34,1850000.00
Hornqvist,Patric,RW,PIT,21,23,0.58,0.39,0.53,0.35,1116.58333333,14666.683333333332,21.0,0.010997221475572187,8.72,4250000.00
Kassian,Zack,RW,EDM,7,17,0.38,0.25,0.51,0.34,971.916666667,15305.083333333334,7.000000000000001,0.009623976418210724,-2.35,1500000.00
Kessel,Phil,RW/C,PIT,23,47,0.42,0.28,0.53,0.35,1470.98333333,14666.683333333332,23.0,0.010997221475572187,6.82,8000000.00
Khaira,Jujhar,LW,EDM,1,0,1.00,0.67,0.51,0.34,92.5666666667,15305.083333333334,1.0,0.009623976418210724,0.11,875000.00
Kuhnhackl,Tom,RW,PIT,4,12,0.33,0.22,0.53,0.35,607.083333333,14666.683333333332,4.0,0.010997221475572187,-2.68,625000.00
Kunitz,Chris,LW,PIT,9,20,0.40,0.27,0.53,0.35,1101.46666667,14666.683333333332,9.0,0.010997221475572187,-3.11,3850000.00
Lander,Anton,C/LW/RW,EDM,1,3,0.33,0.22,0.51,0.34,215.033333333,15305.083333333334,1.0,0.009623976418210724,-1.07,987500.00
Larkin,Dylan,C/LW,DET,17,15,0.63,0.42,0.49,0.33,1292.23333333,15460.233333333334,17.0,0.007799675573929458,6.92,925000.00
Letestu,Mark,C/RW,EDM,16,19,0.56,0.37,0.51,0.34,1110.5,15305.083333333334,16.0,0.009623976418210724,5.31,1800000.00
